wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
550,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1800.0769696240407,0.99999999,0.8821,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1861.3657503677719,0.999999985,0.8814500000000001,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1914.6528741503314,0.99999998,0.8814,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1938.6612609674257,0.99999995,0.8815,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1969.1204709008082,0.9999999,0.8808,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,20.0,2.4422081825696997,1.2211040912848499,10_plates,Rough000,1964.67634131448,0.99999977,0.88,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1510.6332489655576,0.99999999,0.8821,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1559.14772047928,0.99999999,0.88235,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1604.7172554589408,0.99999998,0.8826,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1659.2263255656806,0.99999995,0.8821,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1723.8734099445473,0.99999991,0.8821,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,22.5,2.747484285259117,1.3737421426295584,10_plates,Rough000,1744.0697184900323,0.99999979,0.8819,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1233.1457321358637,0.99999999,0.8833,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1310.3527218890808,0.99999999,0.88285,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1373.8701492287212,0.99999998,0.8825,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1419.5289941893575,0.99999995,0.8836,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1486.310955802512,0.99999991,0.8825,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,25.0,3.0527600140427205,1.5263800070213602,10_plates,Rough000,1533.6714984292473,0.9999998,0.883,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1016.1412383867274,0.99999999,0.8835,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1076.5165399365983,0.999999985,0.8837,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1137.1223957260202,0.99999998,0.8838,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1225.4133682733254,0.99999995,0.8833,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1287.028879191245,0.99999991,0.8831,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,27.5,3.3580357486144092,1.6790178743072046,10_plates,Rough000,1329.582187016376,0.9999998,0.8833,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,836.0577068626678,0.99999999,0.8836,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,901.327718213283,0.999999985,0.8837999999999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,956.8346781269014,0.99999998,0.8839,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,1027.7432575756952,0.99999995,0.8844,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,1127.8378881825547,0.99999991,0.8841,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,30.0,3.6633120115665054,1.8316560057832527,10_plates,Rough000,1170.4951320645212,0.99999981,0.8838,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,718.7555203998231,0.99999999,0.8844,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,757.1166146688496,0.999999985,0.88395,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,804.484151455295,0.99999998,0.8844,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,878.1315253167369,0.99999995,0.8843,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,957.0992242338444,0.99999991,0.8837,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,32.5,3.968587716374066,1.984293858187033,10_plates,Rough000,1026.7610737539383,0.99999981,0.8843,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,35.0,4.273864009555915,2.1369320047779574,10_plates,Rough000,646.9111556103994,0.99999999,0.8841,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,35.0,4.273864009555915,2.1369320047779574,10_plates,Rough000,665.2789858292542,0.999999985,0.8846499999999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,35.0,4.273864009555915,2.1369320047779574,10_plates,Rough000,687.4465974978244,0.99999998,0.8846,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,35.0,4.273864009555915,2.1369320047779574,10_plates,Rough000,750.2533155554418,0.99999995,0.8842,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
